[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 35950: Total Loss of tensor([[21.8239]], grad_fn=<SubBackward0>)
[2022-11-06 09:52:26.467044] Process 3. Episode 35250, average_reward -0.071716
Episode 35250: Total Loss of tensor([[-79.5059]], grad_fn=<SubBackward0>)
[2022-11-06 09:53:15.003915] Process 1. Episode 34500, average_reward -0.068696
Episode 34500: Total Loss of tensor([[8.4634]], grad_fn=<SubBackward0>)
[2022-11-06 09:54:02.489779] Process 4. Episode 37550, average_reward -0.071744
Episode 37550: Total Loss of tensor([[1.8500]], grad_fn=<SubBackward0>)
[2022-11-06 09:54:17.893028] Process 5. Episode 35650, average_reward -0.069621
Episode 35650: Total Loss of tensor([[5.2335]], grad_fn=<SubBackward0>)
[2022-11-06 09:54:26.221109] Process 0. Episode 35150, average_reward -0.070014
Episode 35150: Total Loss of tensor([[-0.1478]], grad_fn=<SubBackward0>)
[2022-11-06 09:54:39.707730] Process 2. Episode 36000, average_reward -0.074528
Episode 36000: Total Loss of tensor([[6.3218]], grad_fn=<SubBackward0>)
[2022-11-06 09:54:57.785835] Process 3. Episode 35300, average_reward -0.071785
Episode 35300: Total Loss of tensor([[14.1372]], grad_fn=<SubBackward0>)
[2022-11-06 09:55:48.997186] Process 1. Episode 34550, average_reward -0.068712
Episode 34550: Total Loss of tensor([[-9.0253]], grad_fn=<SubBackward0>)
[2022-11-06 09:56:25.118557] Process 4. Episode 37600, average_reward -0.071835
Episode 37600: Total Loss of tensor([[1.8640]], grad_fn=<SubBackward0>)
[2022-11-06 09:56:40.747897] Process 5. Episode 35700, average_reward -0.069608
Episode 35700: Total Loss of tensor([[1.0745]], grad_fn=<SubBackward0>)
[2022-11-06 09:57:03.013057] Process 2. Episode 36050, average_reward -0.074424
Episode 36050: Total Loss of tensor([[-0.5894]], grad_fn=<SubBackward0>)
[2022-11-06 09:57:05.167335] Process 0. Episode 35200, average_reward -0.069972
Episode 35200: Total Loss of tensor([[7.0723]], grad_fn=<SubBackward0>)
[2022-11-06 09:57:32.183725] Process 3. Episode 35350, average_reward -0.071768
Episode 35350: Total Loss of tensor([[8.7046]], grad_fn=<SubBackward0>)
[2022-11-06 09:58:26.105153] Process 1. Episode 34600, average_reward -0.068728
Episode 34600: Total Loss of tensor([[-12.9082]], grad_fn=<SubBackward0>)
[2022-11-06 09:58:46.727657] Process 4. Episode 37650, average_reward -0.071846
Episode 37650: Total Loss of tensor([[19.8211]], grad_fn=<SubBackward0>)
[2022-11-06 09:59:05.631993] Process 5. Episode 35750, average_reward -0.069594
Episode 35750: Total Loss of tensor([[-62.9479]], grad_fn=<SubBackward0>)
[2022-11-06 09:59:29.979486] Process 2. Episode 36100, average_reward -0.074488
Episode 36100: Total Loss of tensor([[2.4613]], grad_fn=<SubBackward0>)
[2022-11-06 09:59:39.787758] Process 0. Episode 35250, average_reward -0.070043
Episode 35250: Total Loss of tensor([[6.9914]], grad_fn=<SubBackward0>)
[2022-11-06 10:00:13.514453] Process 3. Episode 35400, average_reward -0.071780
Episode 35400: Total Loss of tensor([[5.3991]], grad_fn=<SubBackward0>)
[2022-11-06 10:00:56.535179] Process 1. Episode 34650, average_reward -0.068745
Episode 34650: Total Loss of tensor([[6.0452]], grad_fn=<SubBackward0>)
[2022-11-06 10:01:07.313446] Process 4. Episode 37700, average_reward -0.071804
Episode 37700: Total Loss of tensor([[5.7387]], grad_fn=<SubBackward0>)
[2022-11-06 10:01:29.375908] Process 5. Episode 35800, average_reward -0.069609
Episode 35800: Total Loss of tensor([[18.2722]], grad_fn=<SubBackward0>)
[2022-11-06 10:01:53.738570] Process 2. Episode 36150, average_reward -0.074440
Episode 36150: Total Loss of tensor([[5.3963]], grad_fn=<SubBackward0>)
[2022-11-06 10:02:07.386743] Process 0. Episode 35300, average_reward -0.070000
Episode 35300: Total Loss of tensor([[5.6678]], grad_fn=<SubBackward0>)
[2022-11-06 10:02:52.837696] Process 3. Episode 35450, average_reward -0.071707
Episode 35450: Total Loss of tensor([[-6.2543]], grad_fn=<SubBackward0>)
[2022-11-06 10:03:27.626859] Process 4. Episode 37750, average_reward -0.071815
Episode 37750: Total Loss of tensor([[18.1039]], grad_fn=<SubBackward0>)
[2022-11-06 10:03:33.538671] Process 1. Episode 34700, average_reward -0.068790
Episode 34700: Total Loss of tensor([[4.0974]], grad_fn=<SubBackward0>)
[2022-11-06 10:03:50.365355] Process 5. Episode 35850, average_reward -0.069707
Episode 35850: Total Loss of tensor([[17.8793]], grad_fn=<SubBackward0>)
[2022-11-06 10:04:25.818693] Process 2. Episode 36200, average_reward -0.074475
Episode 36200: Total Loss of tensor([[4.3316]], grad_fn=<SubBackward0>)
[2022-11-06 10:04:35.716631] Process 0. Episode 35350, average_reward -0.070014
Episode 35350: Total Loss of tensor([[6.7341]], grad_fn=<SubBackward0>)
[2022-11-06 10:05:22.445470] Process 3. Episode 35500, average_reward -0.071690
Episode 35500: Total Loss of tensor([[12.5166]], grad_fn=<SubBackward0>)
[2022-11-06 10:05:47.430117] Process 4. Episode 37800, average_reward -0.071799
Episode 37800: Total Loss of tensor([[9.0821]], grad_fn=<SubBackward0>)
[2022-11-06 10:06:12.413468] Process 1. Episode 34750, average_reward -0.068806
Episode 34750: Total Loss of tensor([[7.2237]], grad_fn=<SubBackward0>)
[2022-11-06 10:06:14.940503] Process 5. Episode 35900, average_reward -0.069610
Episode 35900: Total Loss of tensor([[10.5031]], grad_fn=<SubBackward0>)
[2022-11-06 10:06:51.210515] Process 2. Episode 36250, average_reward -0.074510
Episode 36250: Total Loss of tensor([[-40.3685]], grad_fn=<SubBackward0>)
[2022-11-06 10:07:00.182482] Process 0. Episode 35400, average_reward -0.069944
Episode 35400: Total Loss of tensor([[6.1789]], grad_fn=<SubBackward0>)
[2022-11-06 10:07:50.664031] Process 3. Episode 35550, average_reward -0.071617
Episode 35550: Total Loss of tensor([[2.2277]], grad_fn=<SubBackward0>)
[2022-11-06 10:08:11.464013] Process 4. Episode 37850, average_reward -0.071836
Episode 37850: Total Loss of tensor([[0.2630]], grad_fn=<SubBackward0>)
[2022-11-06 10:08:39.168131] Process 5. Episode 35950, average_reward -0.069597
Episode 35950: Total Loss of tensor([[1.6791]], grad_fn=<SubBackward0>)
[2022-11-06 10:08:43.448043] Process 1. Episode 34800, average_reward -0.068736
Episode 34800: Total Loss of tensor([[8.3084]], grad_fn=<SubBackward0>)
[2022-11-06 10:09:12.114957] Process 2. Episode 36300, average_reward -0.074463
Episode 36300: Total Loss of tensor([[8.1080]], grad_fn=<SubBackward0>)
[2022-11-06 10:09:27.327304] Process 0. Episode 35450, average_reward -0.069901
Episode 35450: Total Loss of tensor([[4.5666]], grad_fn=<SubBackward0>)
[2022-11-06 10:10:18.264526] Process 3. Episode 35600, average_reward -0.071657
Episode 35600: Total Loss of tensor([[-90.0502]], grad_fn=<SubBackward0>)
[2022-11-06 10:10:42.853143] Process 4. Episode 37900, average_reward -0.071768
Episode 37900: Total Loss of tensor([[4.4490]], grad_fn=<SubBackward0>)
[2022-11-06 10:11:11.878436] Process 5. Episode 36000, average_reward -0.069556
Episode 36000: Total Loss of tensor([[-3.6793]], grad_fn=<SubBackward0>)
[2022-11-06 10:11:22.521174] Process 1. Episode 34850, average_reward -0.068723
Episode 34850: Total Loss of tensor([[6.7438]], grad_fn=<SubBackward0>)
[2022-11-06 10:11:40.148573] Process 2. Episode 36350, average_reward -0.074443
Episode 36350: Total Loss of tensor([[7.3638]], grad_fn=<SubBackward0>)
[2022-11-06 10:11:54.590331] Process 0. Episode 35500, average_reward -0.069887
Episode 35500: Total Loss of tensor([[-24.7151]], grad_fn=<SubBackward0>)
[2022-11-06 10:12:49.291619] Process 3. Episode 35650, average_reward -0.071641
Episode 35650: Total Loss of tensor([[-5.0863]], grad_fn=<SubBackward0>)
[2022-11-06 10:13:06.021909] Process 4. Episode 37950, average_reward -0.071752
Episode 37950: Total Loss of tensor([[5.5216]], grad_fn=<SubBackward0>)
[2022-11-06 10:13:38.362959] Process 5. Episode 36050, average_reward -0.069487
Episode 36050: Total Loss of tensor([[0.3284]], grad_fn=<SubBackward0>)
[2022-11-06 10:14:03.251980] Process 1. Episode 34900, average_reward -0.068682
Episode 34900: Total Loss of tensor([[7.0129]], grad_fn=<SubBackward0>)
[2022-11-06 10:14:11.286570] Process 2. Episode 36400, average_reward -0.074341
Episode 36400: Total Loss of tensor([[14.3333]], grad_fn=<SubBackward0>)
[2022-11-06 10:14:21.771373] Process 0. Episode 35550, average_reward -0.069873
Episode 35550: Total Loss of tensor([[-102.5463]], grad_fn=<SubBackward0>)
[2022-11-06 10:15:18.264055] Process 3. Episode 35700, average_reward -0.071709
Episode 35700: Total Loss of tensor([[8.1768]], grad_fn=<SubBackward0>)
[2022-11-06 10:15:27.921905] Process 4. Episode 38000, average_reward -0.071763
Episode 38000: Total Loss of tensor([[8.4522]], grad_fn=<SubBackward0>)
[2022-11-06 10:16:12.744433] Process 5. Episode 36100, average_reward -0.069668
Episode 36100: Total Loss of tensor([[-0.7101]], grad_fn=<SubBackward0>)
[2022-11-06 10:16:40.484990] Process 1. Episode 34950, average_reward -0.068698
Episode 34950: Total Loss of tensor([[-80.6304]], grad_fn=<SubBackward0>)
[2022-11-06 10:16:43.189380] Process 2. Episode 36450, average_reward -0.074376
Episode 36450: Total Loss of tensor([[-37.5766]], grad_fn=<SubBackward0>)
[2022-11-06 10:16:51.254512] Process 0. Episode 35600, average_reward -0.069803
Episode 35600: Total Loss of tensor([[-0.6938]], grad_fn=<SubBackward0>)
[2022-11-06 10:17:48.639847] Process 4. Episode 38050, average_reward -0.071800
Episode 38050: Total Loss of tensor([[5.7035]], grad_fn=<SubBackward0>)
[2022-11-06 10:17:50.291797] Process 3. Episode 35750, average_reward -0.071748
Episode 35750: Total Loss of tensor([[5.8735]], grad_fn=<SubBackward0>)
[2022-11-06 10:18:37.301833] Process 5. Episode 36150, average_reward -0.069654
Episode 36150: Total Loss of tensor([[11.9711]], grad_fn=<SubBackward0>)
[2022-11-06 10:19:12.359164] Process 1. Episode 35000, average_reward -0.068686
Episode 35000: Total Loss of tensor([[-103.7813]], grad_fn=<SubBackward0>)
[2022-11-06 10:19:19.202986] Process 2. Episode 36500, average_reward -0.074356
Episode 36500: Total Loss of tensor([[2.5478]], grad_fn=<SubBackward0>)
[2022-11-06 10:19:19.745967] Process 0. Episode 35650, average_reward -0.069874
Episode 35650: Total Loss of tensor([[24.8433]], grad_fn=<SubBackward0>)
[2022-11-06 10:20:07.531306] Process 4. Episode 38100, average_reward -0.071785
Episode 38100: Total Loss of tensor([[2.5316]], grad_fn=<SubBackward0>)
[2022-11-06 10:20:19.956548] Process 3. Episode 35800, average_reward -0.071732
Episode 35800: Total Loss of tensor([[-1.2931]], grad_fn=<SubBackward0>)
[2022-11-06 10:21:00.791275] Process 5. Episode 36200, average_reward -0.069669
Episode 36200: Total Loss of tensor([[-19.2438]], grad_fn=<SubBackward0>)
[2022-11-06 10:21:44.237661] Process 1. Episode 35050, average_reward -0.068730
Episode 35050: Total Loss of tensor([[0.3768]], grad_fn=<SubBackward0>)
[2022-11-06 10:21:50.698118] Process 2. Episode 36550, average_reward -0.074337
Episode 36550: Total Loss of tensor([[15.0365]], grad_fn=<SubBackward0>)
[2022-11-06 10:21:55.279998] Process 0. Episode 35700, average_reward -0.069832
Episode 35700: Total Loss of tensor([[-0.2451]], grad_fn=<SubBackward0>)
[2022-11-06 10:22:38.201388] Process 4. Episode 38150, average_reward -0.071743
Episode 38150: Total Loss of tensor([[9.3337]], grad_fn=<SubBackward0>)
[2022-11-06 10:22:45.476614] Process 3. Episode 35850, average_reward -0.071743
Episode 35850: Total Loss of tensor([[-22.6903]], grad_fn=<SubBackward0>)
[2022-11-06 10:23:36.803317] Process 5. Episode 36250, average_reward -0.069655
Episode 36250: Total Loss of tensor([[0.0830]], grad_fn=<SubBackward0>)
[2022-11-06 10:24:12.028229] Process 2. Episode 36600, average_reward -0.074262
Episode 36600: Total Loss of tensor([[4.2537]], grad_fn=<SubBackward0>)
[2022-11-06 10:24:15.489341] Process 1. Episode 35100, average_reward -0.068832
Episode 35100: Total Loss of tensor([[-8.0562]], grad_fn=<SubBackward0>)
[2022-11-06 10:24:25.801558] Process 0. Episode 35750, average_reward -0.069790
Episode 35750: Total Loss of tensor([[1.2771]], grad_fn=<SubBackward0>)
[2022-11-06 10:25:02.587851] Process 4. Episode 38200, average_reward -0.071728
Episode 38200: Total Loss of tensor([[1.8490]], grad_fn=<SubBackward0>)
[2022-11-06 10:25:11.703820] Process 3. Episode 35900, average_reward -0.071727
Episode 35900: Total Loss of tensor([[0.6391]], grad_fn=<SubBackward0>)
[2022-11-06 10:26:09.287914] Process 5. Episode 36300, average_reward -0.069669
Episode 36300: Total Loss of tensor([[-116.5029]], grad_fn=<SubBackward0>)
[2022-11-06 10:26:35.308150] Process 2. Episode 36650, average_reward -0.074325
Episode 36650: Total Loss of tensor([[0.1364]], grad_fn=<SubBackward0>)
[2022-11-06 10:26:52.725292] Process 1. Episode 35150, average_reward -0.068819
Episode 35150: Total Loss of tensor([[8.5890]], grad_fn=<SubBackward0>)
[2022-11-06 10:26:55.441979] Process 0. Episode 35800, average_reward -0.069832
Episode 35800: Total Loss of tensor([[3.3248]], grad_fn=<SubBackward0>)
[2022-11-06 10:27:26.832397] Process 4. Episode 38250, average_reward -0.071712
Episode 38250: Total Loss of tensor([[7.7897]], grad_fn=<SubBackward0>)
[2022-11-06 10:27:34.335879] Process 3. Episode 35950, average_reward -0.071711
Episode 35950: Total Loss of tensor([[-6.4826]], grad_fn=<SubBackward0>)
[2022-11-06 10:28:52.822080] Process 5. Episode 36350, average_reward -0.069601
Episode 36350: Total Loss of tensor([[17.3912]], grad_fn=<SubBackward0>)
[2022-11-06 10:28:57.675055] Process 2. Episode 36700, average_reward -0.074360
Episode 36700: Total Loss of tensor([[15.0719]], grad_fn=<SubBackward0>)
[2022-11-06 10:29:32.170495] Process 0. Episode 35850, average_reward -0.069819
Episode 35850: Total Loss of tensor([[-0.2017]], grad_fn=<SubBackward0>)
[2022-11-06 10:29:39.689780] Process 1. Episode 35200, average_reward -0.068807
Episode 35200: Total Loss of tensor([[26.8723]], grad_fn=<SubBackward0>)
[2022-11-06 10:29:49.398437] Process 4. Episode 38300, average_reward -0.071723
Episode 38300: Total Loss of tensor([[6.4351]], grad_fn=<SubBackward0>)
[2022-11-06 10:29:59.570919] Process 3. Episode 36000, average_reward -0.071694
Episode 36000: Total Loss of tensor([[0.6769]], grad_fn=<SubBackward0>)
[2022-11-06 10:31:24.881512] Process 2. Episode 36750, average_reward -0.074367
Episode 36750: Total Loss of tensor([[9.6208]], grad_fn=<SubBackward0>)
[2022-11-06 10:31:26.420600] Process 5. Episode 36400, average_reward -0.069505
Episode 36400: Total Loss of tensor([[4.5279]], grad_fn=<SubBackward0>)
[2022-11-06 10:32:14.613449] Process 4. Episode 38350, average_reward -0.071656
Episode 38350: Total Loss of tensor([[3.7073]], grad_fn=<SubBackward0>)
[2022-11-06 10:32:14.976506] Process 0. Episode 35900, average_reward -0.069777
Episode 35900: Total Loss of tensor([[-108.9526]], grad_fn=<SubBackward0>)
[2022-11-06 10:32:15.152256] Process 1. Episode 35250, average_reward -0.068766
Episode 35250: Total Loss of tensor([[-3.3359]], grad_fn=<SubBackward0>)
[2022-11-06 10:32:36.326387] Process 3. Episode 36050, average_reward -0.071734
Episode 36050: Total Loss of tensor([[3.3829]], grad_fn=<SubBackward0>)
[2022-11-06 10:33:53.986614] Process 5. Episode 36450, average_reward -0.069492
Episode 36450: Total Loss of tensor([[-0.5551]], grad_fn=<SubBackward0>)
[2022-11-06 10:33:55.769362] Process 2. Episode 36800, average_reward -0.074375
Episode 36800: Total Loss of tensor([[2.8463]], grad_fn=<SubBackward0>)
[2022-11-06 10:34:38.258522] Process 4. Episode 38400, average_reward -0.071589
Episode 38400: Total Loss of tensor([[9.2522]], grad_fn=<SubBackward0>)
[2022-11-06 10:34:44.557835] Process 1. Episode 35300, average_reward -0.068782
Episode 35300: Total Loss of tensor([[-1.2635]], grad_fn=<SubBackward0>)
[2022-11-06 10:34:56.986287] Process 0. Episode 35950, average_reward -0.069708
Episode 35950: Total Loss of tensor([[6.7556]], grad_fn=<SubBackward0>)
[2022-11-06 10:35:02.344407] Process 3. Episode 36100, average_reward -0.071745
Episode 36100: Total Loss of tensor([[11.4587]], grad_fn=<SubBackward0>)
[2022-11-06 10:36:21.482585] Process 2. Episode 36850, average_reward -0.074383
Episode 36850: Total Loss of tensor([[8.1230]], grad_fn=<SubBackward0>)
[2022-11-06 10:36:25.471118] Process 5. Episode 36500, average_reward -0.069562
Episode 36500: Total Loss of tensor([[16.9457]], grad_fn=<SubBackward0>)
[2022-11-06 10:37:09.617740] Process 4. Episode 38450, average_reward -0.071573
Episode 38450: Total Loss of tensor([[5.8452]], grad_fn=<SubBackward0>)
[2022-11-06 10:37:16.006952] Process 1. Episode 35350, average_reward -0.068769
Episode 35350: Total Loss of tensor([[8.9155]], grad_fn=<SubBackward0>)
[2022-11-06 10:37:30.543310] Process 0. Episode 36000, average_reward -0.069722
Episode 36000: Total Loss of tensor([[9.8937]], grad_fn=<SubBackward0>)
[2022-11-06 10:37:38.219160] Process 3. Episode 36150, average_reward -0.071646
Episode 36150: Total Loss of tensor([[8.2547]], grad_fn=<SubBackward0>)
[2022-11-06 10:38:52.982499] Process 2. Episode 36900, average_reward -0.074417
Episode 36900: Total Loss of tensor([[-1.2799]], grad_fn=<SubBackward0>)
[2022-11-06 10:38:58.429693] Process 5. Episode 36550, average_reward -0.069603
Episode 36550: Total Loss of tensor([[-4.9855]], grad_fn=<SubBackward0>)
[2022-11-06 10:39:39.953759] Process 4. Episode 38500, average_reward -0.071558
Episode 38500: Total Loss of tensor([[5.2827]], grad_fn=<SubBackward0>)
[2022-11-06 10:39:57.431435] Process 1. Episode 35400, average_reward -0.068757
Episode 35400: Total Loss of tensor([[4.9746]], grad_fn=<SubBackward0>)
[2022-11-06 10:40:07.455084] Process 3. Episode 36200, average_reward -0.071657
Episode 36200: Total Loss of tensor([[3.7052]], grad_fn=<SubBackward0>)
[2022-11-06 10:40:15.954654] Process 0. Episode 36050, average_reward -0.069792
Episode 36050: Total Loss of tensor([[15.3168]], grad_fn=<SubBackward0>)
[2022-11-06 10:41:19.999641] Process 2. Episode 36950, average_reward -0.074371
Episode 36950: Total Loss of tensor([[2.8667]], grad_fn=<SubBackward0>)
[2022-11-06 10:41:22.887566] Process 5. Episode 36600, average_reward -0.069645
Episode 36600: Total Loss of tensor([[13.5483]], grad_fn=<SubBackward0>)
[2022-11-06 10:42:06.641623] Process 4. Episode 38550, average_reward -0.071543
Episode 38550: Total Loss of tensor([[-72.0019]], grad_fn=<SubBackward0>)
[2022-11-06 10:42:28.984499] Process 1. Episode 35450, average_reward -0.068773
Episode 35450: Total Loss of tensor([[0.7203]], grad_fn=<SubBackward0>)
[2022-11-06 10:42:39.951313] Process 3. Episode 36250, average_reward -0.071697
Episode 36250: Total Loss of tensor([[3.4429]], grad_fn=<SubBackward0>)
[2022-11-06 10:42:47.703532] Process 0. Episode 36100, average_reward -0.069778
Episode 36100: Total Loss of tensor([[15.6959]], grad_fn=<SubBackward0>)
[2022-11-06 10:43:47.856070] Process 2. Episode 37000, average_reward -0.074405
Episode 37000: Total Loss of tensor([[4.2610]], grad_fn=<SubBackward0>)
[2022-11-06 10:43:53.806549] Process 5. Episode 36650, average_reward -0.069659
Episode 36650: Total Loss of tensor([[5.4324]], grad_fn=<SubBackward0>)
[2022-11-06 10:44:31.496949] Process 4. Episode 38600, average_reward -0.071580
Episode 38600: Total Loss of tensor([[5.3169]], grad_fn=<SubBackward0>)
[2022-11-06 10:44:58.774684] Process 1. Episode 35500, average_reward -0.068732
Episode 35500: Total Loss of tensor([[1.4433]], grad_fn=<SubBackward0>)
[2022-11-06 10:45:16.000557] Process 3. Episode 36300, average_reward -0.071736
Episode 36300: Total Loss of tensor([[7.3324]], grad_fn=<SubBackward0>)
[2022-11-06 10:45:20.238025] Process 0. Episode 36150, average_reward -0.069876
Episode 36150: Total Loss of tensor([[11.6146]], grad_fn=<SubBackward0>)
[2022-11-06 10:46:13.446320] Process 2. Episode 37050, average_reward -0.074332
Episode 37050: Total Loss of tensor([[9.5120]], grad_fn=<SubBackward0>)
[2022-11-06 10:46:21.337481] Process 5. Episode 36700, average_reward -0.069619
Episode 36700: Total Loss of tensor([[5.3863]], grad_fn=<SubBackward0>)
[2022-11-06 10:46:53.761118] Process 4. Episode 38650, average_reward -0.071565
Episode 38650: Total Loss of tensor([[15.0679]], grad_fn=<SubBackward0>)
[2022-11-06 10:47:26.743824] Process 1. Episode 35550, average_reward -0.068664
Episode 35550: Total Loss of tensor([[-38.1575]], grad_fn=<SubBackward0>)
[2022-11-06 10:47:52.420625] Process 3. Episode 36350, average_reward -0.071774
Episode 36350: Total Loss of tensor([[6.5241]], grad_fn=<SubBackward0>)
[2022-11-06 10:48:01.526802] Process 0. Episode 36200, average_reward -0.069834
Episode 36200: Total Loss of tensor([[-1.2646]], grad_fn=<SubBackward0>)
[2022-11-06 10:48:39.485475] Process 2. Episode 37100, average_reward -0.074286
Episode 37100: Total Loss of tensor([[-23.7207]], grad_fn=<SubBackward0>)
[2022-11-06 10:48:55.769869] Process 5. Episode 36750, average_reward -0.069605
Episode 36750: Total Loss of tensor([[-27.7437]], grad_fn=<SubBackward0>)
[2022-11-06 10:49:18.289562] Process 4. Episode 38700, average_reward -0.071628
Episode 38700: Total Loss of tensor([[-30.1226]], grad_fn=<SubBackward0>)
[2022-11-06 10:50:01.756953] Process 1. Episode 35600, average_reward -0.068624
Episode 35600: Total Loss of tensor([[11.8373]], grad_fn=<SubBackward0>)
[2022-11-06 10:50:28.470544] Process 3. Episode 36400, average_reward -0.071703
Episode 36400: Total Loss of tensor([[12.9204]], grad_fn=<SubBackward0>)
[2022-11-06 10:50:33.244088] Process 0. Episode 36250, average_reward -0.069821
Episode 36250: Total Loss of tensor([[-1.1766]], grad_fn=<SubBackward0>)
[2022-11-06 10:51:14.424541] Process 2. Episode 37150, average_reward -0.074266
Episode 37150: Total Loss of tensor([[13.0949]], grad_fn=<SubBackward0>)
[2022-11-06 10:51:20.931489] Process 5. Episode 36800, average_reward -0.069592
Episode 36800: Total Loss of tensor([[-81.3440]], grad_fn=<SubBackward0>)
[2022-11-06 10:51:39.148695] Process 4. Episode 38750, average_reward -0.071613
Episode 38750: Total Loss of tensor([[-1.8876]], grad_fn=<SubBackward0>)
[2022-11-06 10:52:40.520508] Process 1. Episode 35650, average_reward -0.068724
Episode 35650: Total Loss of tensor([[7.4640]], grad_fn=<SubBackward0>)
[2022-11-06 10:53:02.147126] Process 3. Episode 36450, average_reward -0.071687
Episode 36450: Total Loss of tensor([[12.6921]], grad_fn=<SubBackward0>)
[2022-11-06 10:53:17.564233] Process 0. Episode 36300, average_reward -0.069917
Episode 36300: Total Loss of tensor([[-88.4083]], grad_fn=<SubBackward0>)
[2022-11-06 10:53:40.839441] Process 2. Episode 37200, average_reward -0.074355
Episode 37200: Total Loss of tensor([[11.8757]], grad_fn=<SubBackward0>)
[2022-11-06 10:53:48.832748] Process 5. Episode 36850, average_reward -0.069607
Episode 36850: Total Loss of tensor([[0.5700]], grad_fn=<SubBackward0>)
[2022-11-06 10:53:58.970984] Process 4. Episode 38800, average_reward -0.071624
Episode 38800: Total Loss of tensor([[11.8922]], grad_fn=<SubBackward0>)
[2022-11-06 10:55:17.945191] Process 1. Episode 35700, average_reward -0.068739
Episode 35700: Total Loss of tensor([[5.5342]], grad_fn=<SubBackward0>)
[2022-11-06 10:55:31.003012] Process 3. Episode 36500, average_reward -0.071616
Episode 36500: Total Loss of tensor([[10.8520]], grad_fn=<SubBackward0>)
[2022-11-06 10:55:55.105089] Process 0. Episode 36350, average_reward -0.069904
Episode 36350: Total Loss of tensor([[4.9856]], grad_fn=<SubBackward0>)
[2022-11-06 10:56:11.622193] Process 2. Episode 37250, average_reward -0.074336
Episode 37250: Total Loss of tensor([[16.1125]], grad_fn=<SubBackward0>)
[2022-11-06 10:56:13.000843] Process 5. Episode 36900, average_reward -0.069566
Episode 36900: Total Loss of tensor([[14.5508]], grad_fn=<SubBackward0>)
[2022-11-06 10:56:20.406177] Process 4. Episode 38850, average_reward -0.071609
Episode 38850: Total Loss of tensor([[14.7334]], grad_fn=<SubBackward0>)
[2022-11-06 10:57:50.974077] Process 1. Episode 35750, average_reward -0.068755
Episode 35750: Total Loss of tensor([[15.6760]], grad_fn=<SubBackward0>)
[2022-11-06 10:57:59.294298] Process 3. Episode 36550, average_reward -0.071683
Episode 36550: Total Loss of tensor([[14.1963]], grad_fn=<SubBackward0>)
[2022-11-06 10:58:28.365254] Process 0. Episode 36400, average_reward -0.069945
Episode 36400: Total Loss of tensor([[16.6563]], grad_fn=<SubBackward0>)
[2022-11-06 10:58:36.306067] Process 2. Episode 37300, average_reward -0.074236
Episode 37300: Total Loss of tensor([[11.5978]], grad_fn=<SubBackward0>)
[2022-11-06 10:58:41.013150] Process 5. Episode 36950, average_reward -0.069499
Episode 36950: Total Loss of tensor([[13.0496]], grad_fn=<SubBackward0>)
[2022-11-06 10:58:41.580829] Process 4. Episode 38900, average_reward -0.071671
Episode 38900: Total Loss of tensor([[14.7369]], grad_fn=<SubBackward0>)
[2022-11-06 11:00:22.215147] Process 1. Episode 35800, average_reward -0.068715
Episode 35800: Total Loss of tensor([[9.1643]], grad_fn=<SubBackward0>)
[2022-11-06 11:00:22.241038] Process 3. Episode 36600, average_reward -0.071667
Episode 36600: Total Loss of tensor([[1.7249]], grad_fn=<SubBackward0>)
[2022-11-06 11:01:04.324918] Process 4. Episode 38950, average_reward -0.071759
Episode 38950: Total Loss of tensor([[17.0181]], grad_fn=<SubBackward0>)
[2022-11-06 11:01:05.945623] Process 2. Episode 37350, average_reward -0.074244
Episode 37350: Total Loss of tensor([[7.4458]], grad_fn=<SubBackward0>)
[2022-11-06 11:01:15.192333] Process 0. Episode 36450, average_reward -0.069877
Episode 36450: Total Loss of tensor([[2.0256]], grad_fn=<SubBackward0>)
[2022-11-06 11:01:26.726945] Process 5. Episode 37000, average_reward -0.069568
Episode 37000: Total Loss of tensor([[8.8050]], grad_fn=<SubBackward0>)
[2022-11-06 11:02:43.018454] Process 3. Episode 36650, average_reward -0.071623
Episode 36650: Total Loss of tensor([[-2.3753]], grad_fn=<SubBackward0>)
[2022-11-06 11:02:49.351361] Process 1. Episode 35850, average_reward -0.068731
Episode 35850: Total Loss of tensor([[11.2077]], grad_fn=<SubBackward0>)
[2022-11-06 11:03:22.673059] Process 4. Episode 39000, average_reward -0.071692
Episode 39000: Total Loss of tensor([[8.0781]], grad_fn=<SubBackward0>)
[2022-11-06 11:03:39.155977] Process 2. Episode 37400, average_reward -0.074251
Episode 37400: Total Loss of tensor([[14.1274]], grad_fn=<SubBackward0>)
[2022-11-06 11:03:52.120013] Process 0. Episode 36500, average_reward -0.069918
Episode 36500: Total Loss of tensor([[10.8502]], grad_fn=<SubBackward0>)
[2022-11-06 11:04:06.777844] Process 5. Episode 37050, average_reward -0.069690
Episode 37050: Total Loss of tensor([[-126.8775]], grad_fn=<SubBackward0>)
[2022-11-06 11:05:05.685054] Process 3. Episode 36700, average_reward -0.071717
Episode 36700: Total Loss of tensor([[-5.2663]], grad_fn=<SubBackward0>)
[2022-11-06 11:05:28.737257] Process 1. Episode 35900, average_reward -0.068774
Episode 35900: Total Loss of tensor([[6.6381]], grad_fn=<SubBackward0>)
[2022-11-06 11:05:44.257912] Process 4. Episode 39050, average_reward -0.071729
